Şehir,Seviye,Pozisyon,Maaş_Net_TL
Istanbul,Junior,Data Science,57000
Istanbul,Senior,Frontend,141000
Istanbul,Mid,Backend,34000
Istanbul,Mid,Fullstack,67000
Istanbul,Mid,Backend,86000
Izmir,Junior,UI/UX,53000
Istanbul,Junior,UI/UX,54000
Istanbul,Junior,QA/Test,56000
Diğer,Mid,Backend,77000
Diğer,Mid,Backend,67000
Istanbul,Junior,Backend,54000
Istanbul,Mid,Machine Learning,105000
Diğer,Junior,Backend,57000
Istanbul,Senior,Mobile,167000
Izmir,Junior,Fullstack,57000
Diğer,Junior,Frontend,53000
Ankara,Junior,Frontend,43000
Ankara,Junior,Business Analyst,57000
Izmir,Mid,Data Science,98000
Ankara,Junior,Data Science,54000
Istanbul,Junior,Frontend,49000
Diğer,Mid,Backend,112000
Istanbul,Junior,Frontend,52000
Ankara,Junior,Frontend,56000
Diğer,Junior,Backend,45000
Ankara,Junior,UI/UX,40000
Izmir,Junior,Frontend,49000
Izmir,Junior,Fullstack,40000
Diğer,Junior,QA/Test,63000
Ankara,Mid,Fullstack,67000
Istanbul,Mid,Product Manager,85000
Istanbul,Senior,Mobile,129000
Diğer,Junior,Frontend,63000
Istanbul,Mid,Frontend,78000
Istanbul,Mid,Cybersecurity,125000
Istanbul,Senior,Frontend,95000
Diğer,Senior,Cybersecurity,143000
Izmir,Mid,Backend,81000
Diğer,Junior,Frontend,47000
Diğer,Senior,UI/UX,62000
Istanbul,Mid,Cybersecurity,109000
Ankara,Junior,Product Manager,54000
Istanbul,Mid,Frontend,77000
Istanbul,Junior,Game Development,45000
Istanbul,Junior,Backend,52000
Istanbul,Mid,Cybersecurity,89000
Istanbul,Junior,Data Science,52000
Istanbul,Mid,Data Science,107000
Istanbul,Senior,DevOps,100000
Ankara,Mid,Backend,119000
Istanbul,Mid,Backend,81000
Istanbul,Senior,UI/UX,91000
Diğer,Mid,Backend,62000
Istanbul,Senior,DevOps,141000
Ankara,Mid,Fullstack,65000
Istanbul,Junior,Game Development,44000
Ankara,Junior,Frontend,57000
Diğer,Junior,Frontend,44000
Diğer,Mid,Data Engineer,106000
Istanbul,Mid,Frontend,49000
Diğer,Mid,Cybersecurity,89000
Istanbul,Senior,Data Science,142000
Diğer,Senior,DevOps,109000
Istanbul,Senior,Backend,79000
Ankara,Junior,Game Development,44000
Istanbul,Mid,Mobile,82000
Istanbul,Mid,UI/UX,60000
Istanbul,Mid,Backend,67000
Izmir,Mid,Mobile,114000
Istanbul,Senior,Fullstack,113000
Istanbul,Mid,UI/UX,58000
Ankara,Junior,Backend,63000
Ankara,Junior,UI/UX,50000
Diğer,Mid,DevOps,112000
Izmir,Senior,Fullstack,122000
Istanbul,Junior,UI/UX,31000
Istanbul,Junior,Fullstack,42000
Diğer,Mid,QA/Test,118000
Diğer,Junior,Backend,50000
Istanbul,Junior,UI/UX,51000
Istanbul,Senior,Backend,143000
Istanbul,Mid,Frontend,79000
Ankara,Junior,QA/Test,71000
Istanbul,Senior,Backend,126000
Istanbul,Mid,UI/UX,75000
Istanbul,Junior,Game Development,61000
Istanbul,Mid,Frontend,78000
Istanbul,Junior,Mobile,50000
Istanbul,Mid,Game Development,60000
Ankara,Junior,Machine Learning,65000
Diğer,Senior,Fullstack,97000
Istanbul,Senior,Backend,135000
Istanbul,Mid,Fullstack,84000
Diğer,Mid,Frontend,98000
Istanbul,Mid,Frontend,61000
Istanbul,Senior,Frontend,113000
Istanbul,Mid,Mobile,98000
Istanbul,Mid,Data Science,81000
Istanbul,Mid,Fullstack,78000
Diğer,Junior,Backend,52000
Istanbul,Mid,Machine Learning,101000
Istanbul,Mid,Product Manager,56000
Istanbul,Mid,Fullstack,87000
Diğer,Junior,Frontend,40000
Istanbul,Senior,Backend,130000
Istanbul,Mid,Mobile,106000
Istanbul,Mid,Backend,49000
Ankara,Mid,Backend,72000
Istanbul,Mid,Fullstack,98000
Istanbul,Junior,Data Science,62000
Istanbul,Mid,Cybersecurity,94000
Diğer,Mid,Machine Learning,70000
Istanbul,Senior,QA/Test,130000
Istanbul,Mid,Frontend,105000
Izmir,Junior,Backend,61000
Istanbul,Mid,Fullstack,66000
Istanbul,Junior,Frontend,33000
Istanbul,Junior,Cybersecurity,52000
Istanbul,Senior,Game Development,117000
Diğer,Mid,Data Science,77000
Ankara,Junior,Game Development,42000
Istanbul,Senior,Mobile,177000
Izmir,Senior,Mobile,173000
Diğer,Mid,UI/UX,36000
Ankara,Junior,Business Analyst,65000
Istanbul,Senior,Frontend,113000
Ankara,Junior,Frontend,54000
Istanbul,Senior,Machine Learning,136000
Ankara,Mid,Machine Learning,117000
Diğer,Junior,Business Analyst,69000
Istanbul,Junior,Mobile,49000
Istanbul,Junior,Backend,71000
Istanbul,Junior,Frontend,32000
Istanbul,Junior,Data Science,34000
Istanbul,Mid,Product Manager,76000
Istanbul,Junior,Mobile,39000
Istanbul,Mid,Data Science,124000
Istanbul,Senior,Data Science,150000
Ankara,Junior,QA/Test,59000
Istanbul,Junior,Machine Learning,65000
Diğer,Mid,DevOps,86000
Ankara,Mid,Mobile,77000
Istanbul,Mid,QA/Test,84000
Istanbul,Mid,Fullstack,76000
Istanbul,Senior,Backend,170000
Diğer,Senior,QA/Test,103000
Istanbul,Senior,Machine Learning,153000
Istanbul,Junior,Fullstack,48000
Ankara,Junior,Data Science,72000
Diğer,Junior,Fullstack,69000
Ankara,Senior,UI/UX,73000
Istanbul,Senior,Frontend,160000
Istanbul,Junior,Backend,53000
Istanbul,Senior,Fullstack,83000
Ankara,Mid,Data Science,68000
Ankara,Mid,Data Engineer,126000
Istanbul,Junior,UI/UX,45000
Istanbul,Junior,DevOps,48000
Istanbul,Junior,Backend,45000
Izmir,Senior,Backend,119000
Diğer,Mid,Backend,96000
Diğer,Junior,Backend,54000
Istanbul,Junior,Game Development,46000
Istanbul,Mid,Data Science,98000
Istanbul,Senior,QA/Test,110000
Diğer,Senior,Data Engineer,70000
Istanbul,Senior,Frontend,124000
Istanbul,Senior,Fullstack,104000
Istanbul,Junior,Cybersecurity,49000
Istanbul,Junior,UI/UX,43000
Diğer,Junior,Frontend,39000
Istanbul,Mid,QA/Test,78000
Ankara,Junior,DevOps,46000
Istanbul,Mid,Mobile,89000
Diğer,Senior,Game Development,74000
Izmir,Junior,Backend,46000
Izmir,Senior,Frontend,160000
Istanbul,Mid,Fullstack,48000
Diğer,Junior,Fullstack,45000
Istanbul,Mid,Fullstack,46000
Ankara,Junior,DevOps,66000
Istanbul,Junior,DevOps,52000
Istanbul,Junior,Machine Learning,62000
Diğer,Mid,Fullstack,87000
Istanbul,Senior,Fullstack,119000
Izmir,Mid,Fullstack,73000
Diğer,Mid,Fullstack,79000
Ankara,Junior,Data Science,65000
Istanbul,Mid,Product Manager,58000
Istanbul,Junior,DevOps,46000
Diğer,Junior,Mobile,50000
Diğer,Mid,Backend,54000
Ankara,Junior,Data Science,75000
Istanbul,Senior,Backend,111000
Istanbul,Junior,Embedded Software Developer,76000
Ankara,Mid,Data Science,72000
Istanbul,Mid,Data Science,87000
Istanbul,Mid,Fullstack,58000
Ankara,Mid,UI/UX,60000
Izmir,Senior,QA/Test,129000
Istanbul,Junior,DevOps,78000
Istanbul,Junior,Data Science,66000
Izmir,Senior,Cybersecurity,153000
Diğer,Mid,QA/Test,73000
Izmir,Junior,Backend,42000
Istanbul,Mid,Business Analyst,54000
Istanbul,Junior,Frontend,60000
Izmir,Junior,Fullstack,73000
Istanbul,Mid,Frontend,80000
Istanbul,Senior,Product Manager,104000
Istanbul,Junior,Frontend,53000
Diğer,Senior,Data Science,143000
Diğer,Senior,DevOps,103000
Istanbul,Junior,Machine Learning,64000
Istanbul,Mid,Backend,60000
Ankara,Senior,Fullstack,128000
Istanbul,Senior,Frontend,115000
Istanbul,Mid,Backend,64000
Ankara,Mid,Frontend,67000
Istanbul,Mid,QA/Test,94000
Istanbul,Junior,Frontend,45000
Istanbul,Mid,Data Science,89000
Istanbul,Junior,QA/Test,75000
Izmir,Senior,Frontend,99000
Diğer,Mid,Backend,85000
Ankara,Senior,Data Science,155000
Ankara,Junior,Frontend,57000
Istanbul,Mid,Frontend,67000
Istanbul,Junior,Frontend,46000
Diğer,Mid,Fullstack,68000
Istanbul,Mid,Frontend,57000
Istanbul,Mid,QA/Test,84000
Istanbul,Mid,Product Manager,81000
Istanbul,Junior,Fullstack,52000
Ankara,Mid,Data Engineer,130000
Istanbul,Senior,QA/Test,109000
Diğer,Mid,QA/Test,74000
Ankara,Senior,Fullstack,131000
Istanbul,Senior,Backend,160000
Istanbul,Junior,Backend,49000
Diğer,Junior,Backend,44000
Diğer,Senior,QA/Test,92000
Diğer,Mid,Data Science,70000
Istanbul,Junior,Business Analyst,44000
Istanbul,Senior,Machine Learning,166000
Diğer,Senior,Frontend,89000
Istanbul,Mid,Frontend,97000
Istanbul,Senior,Fullstack,98000
Istanbul,Mid,Mobile,94000
Istanbul,Junior,Product Manager,50000
Istanbul,Mid,Cybersecurity,124000
Diğer,Mid,Cybersecurity,111000
Ankara,Junior,Fullstack,48000
Ankara,Junior,Mobile,60000
Izmir,Senior,Data Science,117000
Istanbul,Mid,Data Science,96000
Istanbul,Junior,Cybersecurity,55000
Ankara,Senior,Mobile,138000
Diğer,Junior,Cybersecurity,69000
Izmir,Junior,Frontend,47000
Istanbul,Junior,DevOps,60000
Istanbul,Junior,QA/Test,60000
Istanbul,Junior,Game Development,52000
Istanbul,Junior,DevOps,35000
Istanbul,Senior,Fullstack,147000
Istanbul,Junior,Cybersecurity,52000
Diğer,Senior,Backend,149000
Istanbul,Junior,Mobile,54000
Diğer,Mid,Backend,40000
Istanbul,Junior,Backend,48000
Istanbul,Junior,Frontend,53000
Diğer,Mid,Frontend,86000
Ankara,Mid,Backend,116000
Ankara,Junior,Mobile,38000
Istanbul,Junior,DevOps,38000
Istanbul,Mid,Frontend,65000
Istanbul,Junior,Machine Learning,65000
Diğer,Mid,Fullstack,81000
Istanbul,Mid,Frontend,79000
Diğer,Junior,Backend,61000
Istanbul,Junior,Backend,44000
Diğer,Senior,Mobile,196000
Ankara,Junior,Mobile,33000
Istanbul,Junior,Fullstack,59000
Istanbul,Junior,Cybersecurity,55000
Istanbul,Senior,Fullstack,142000
Diğer,Junior,Data Engineer,74000
Istanbul,Senior,Backend,153000
Istanbul,Mid,QA/Test,76000
Istanbul,Senior,Fullstack,121000
Istanbul,Mid,DevOps,89000
Istanbul,Junior,Backend,63000
Diğer,Junior,Fullstack,50000
Istanbul,Mid,Backend,88000
Istanbul,Mid,UI/UX,45000
Ankara,Mid,Backend,82000
Istanbul,Junior,Backend,72000
Izmir,Junior,Cybersecurity,53000
Istanbul,Junior,DevOps,52000
Diğer,Senior,Backend,184000
Ankara,Junior,Backend,47000
Ankara,Mid,Fullstack,81000
Ankara,Mid,Frontend,80000
Istanbul,Junior,Data Science,57000
Izmir,Mid,Cybersecurity,60000
Izmir,Mid,Frontend,72000
Diğer,Mid,Frontend,65000
Izmir,Junior,Backend,67000
Ankara,Mid,Backend,94000
Istanbul,Senior,Data Science,115000
Istanbul,Junior,QA/Test,60000
Istanbul,Junior,Fullstack,52000
Istanbul,Junior,UI/UX,37000
Istanbul,Junior,Frontend,50000
Diğer,Senior,Frontend,108000
Istanbul,Mid,Embedded Software Developer,118000
Istanbul,Mid,DevOps,81000
Istanbul,Junior,Fullstack,43000
Izmir,Mid,Fullstack,55000
Istanbul,Junior,Backend,45000
Diğer,Mid,Frontend,64000
Istanbul,Mid,Backend,93000
Ankara,Senior,Cybersecurity,140000
Izmir,Junior,Mobile,43000
Diğer,Junior,Frontend,36000
Diğer,Mid,Game Development,40000
Diğer,Mid,Backend,70000
Diğer,Mid,Frontend,63000
Istanbul,Junior,Backend,46000
Istanbul,Senior,Backend,92000
Istanbul,Mid,UI/UX,67000
Diğer,Junior,UI/UX,41000
Diğer,Mid,Mobile,62000
Istanbul,Mid,Frontend,58000
Istanbul,Junior,Game Development,39000
Diğer,Mid,Frontend,81000
Istanbul,Mid,QA/Test,95000
Istanbul,Junior,Game Development,52000
Ankara,Junior,Business Analyst,58000
Diğer,Mid,Backend,95000
Istanbul,Junior,UI/UX,42000
Ankara,Senior,Backend,122000
Istanbul,Junior,Game Development,51000
Istanbul,Mid,Fullstack,83000
Istanbul,Senior,Fullstack,118000
Ankara,Junior,Data Science,55000
Istanbul,Senior,UI/UX,77000
Istanbul,Senior,Product Manager,75000
Izmir,Senior,Data Science,172000
Istanbul,Junior,Mobile,32000
Diğer,Mid,Cybersecurity,84000
Istanbul,Senior,Mobile,135000
Istanbul,Junior,Data Science,40000
Diğer,Junior,Backend,51000
Ankara,Mid,Frontend,70000
Istanbul,Junior,Data Science,62000
Istanbul,Junior,Frontend,31000
Istanbul,Senior,Backend,140000
Istanbul,Junior,Frontend,50000
Diğer,Junior,DevOps,56000
Istanbul,Senior,Data Science,147000
Istanbul,Senior,Frontend,155000
Istanbul,Mid,Game Development,57000
Istanbul,Junior,Data Science,48000
Istanbul,Mid,Data Science,117000
Istanbul,Senior,Fullstack,122000
Ankara,Senior,Frontend,144000
Istanbul,Junior,DevOps,60000
Istanbul,Mid,QA/Test,72000
Istanbul,Junior,Machine Learning,65000
Diğer,Junior,Backend,50000
Istanbul,Mid,DevOps,94000
Istanbul,Junior,Fullstack,52000
Istanbul,Mid,QA/Test,76000
Istanbul,Junior,Backend,49000
Istanbul,Mid,Machine Learning,113000
Ankara,Mid,Cybersecurity,106000
Istanbul,Mid,Mobile,101000
Istanbul,Junior,DevOps,52000
Diğer,Junior,Cybersecurity,63000
Ankara,Mid,Mobile,85000
Izmir,Senior,Frontend,93000
Diğer,Senior,Backend,146000
Istanbul,Mid,QA/Test,71000
Istanbul,Senior,DevOps,108000
Istanbul,Mid,Mobile,67000
Ankara,Mid,Data Science,81000
Istanbul,Senior,Machine Learning,134000
Ankara,Mid,DevOps,74000
Ankara,Mid,DevOps,116000
Istanbul,Junior,Game Development,61000
Istanbul,Mid,Frontend,96000
Istanbul,Mid,Frontend,82000
Istanbul,Junior,QA/Test,50000
Ankara,Junior,Frontend,47000
Izmir,Junior,Cybersecurity,40000
Diğer,Mid,Mobile,92000
Istanbul,Junior,UI/UX,39000
Diğer,Senior,Fullstack,143000
Istanbul,Junior,Data Science,80000
Istanbul,Junior,Fullstack,51000
Istanbul,Mid,Backend,90000
Ankara,Junior,Mobile,46000
Ankara,Senior,QA/Test,127000
Istanbul,Junior,Backend,32000
Istanbul,Mid,UI/UX,56000
Diğer,Junior,Frontend,44000
Istanbul,Senior,UI/UX,77000
Istanbul,Mid,UI/UX,69000
Istanbul,Mid,QA/Test,65000
Istanbul,Senior,Frontend,130000
Ankara,Senior,Backend,150000
Istanbul,Senior,Frontend,108000
Diğer,Junior,Backend,36000
Istanbul,Junior,QA/Test,47000
Istanbul,Senior,Data Engineer,184000
Diğer,Senior,Game Development,76000
Diğer,Junior,Product Manager,41000
Izmir,Mid,Product Manager,69000
Istanbul,Mid,Mobile,91000
Istanbul,Mid,DevOps,82000
Istanbul,Senior,Cybersecurity,134000
Istanbul,Junior,Mobile,44000
Diğer,Mid,QA/Test,91000
Diğer,Junior,Machine Learning,55000
Istanbul,Junior,Fullstack,35000
Istanbul,Junior,Backend,47000
Istanbul,Junior,Mobile,36000
Istanbul,Senior,Mobile,110000
Istanbul,Junior,Fullstack,55000
Istanbul,Junior,QA/Test,46000
Istanbul,Junior,Mobile,48000
Istanbul,Junior,Cybersecurity,57000
Istanbul,Mid,Mobile,97000
Istanbul,Junior,Frontend,56000
Istanbul,Junior,Backend,51000
Istanbul,Junior,Frontend,46000
Istanbul,Mid,Frontend,67000
Diğer,Junior,Mobile,58000
Ankara,Junior,QA/Test,44000
Diğer,Mid,Backend,105000
Diğer,Senior,Backend,156000
Istanbul,Junior,Product Manager,46000
Istanbul,Junior,QA/Test,59000
Istanbul,Mid,UI/UX,54000
Istanbul,Mid,Frontend,79000
Ankara,Senior,Backend,122000
Istanbul,Junior,Frontend,51000
Istanbul,Senior,Fullstack,114000
Ankara,Junior,Frontend,39000
Istanbul,Junior,Fullstack,60000
Diğer,Junior,QA/Test,65000
Istanbul,Senior,Machine Learning,114000
Istanbul,Junior,QA/Test,59000
Istanbul,Mid,Frontend,93000
Diğer,Senior,Frontend,110000
Istanbul,Mid,Backend,87000
Ankara,Mid,Backend,90000
Istanbul,Mid,Fullstack,88000
Diğer,Mid,Product Manager,98000
Istanbul,Junior,Data Science,67000
Izmir,Senior,Cybersecurity,135000
Istanbul,Senior,Fullstack,125000
Diğer,Junior,Fullstack,51000
Ankara,Mid,Cybersecurity,67000
Istanbul,Junior,Data Science,58000
Ankara,Mid,Machine Learning,94000
Istanbul,Junior,Data Science,78000
Istanbul,Mid,QA/Test,75000
Istanbul,Junior,Backend,42000
Izmir,Junior,Backend,47000
Izmir,Mid,Frontend,61000
Ankara,Mid,Backend,68000
Diğer,Mid,DevOps,79000
Ankara,Junior,Machine Learning,42000
Ankara,Mid,Backend,89000
Istanbul,Junior,UI/UX,32000
Istanbul,Junior,Fullstack,38000
Ankara,Senior,Backend,135000
Ankara,Senior,Fullstack,101000
Ankara,Junior,Frontend,47000
Istanbul,Junior,Mobile,49000
Istanbul,Junior,QA/Test,41000
Diğer,Senior,Backend,134000
Ankara,Junior,DevOps,57000
Diğer,Mid,UI/UX,62000
Istanbul,Junior,Frontend,52000
Ankara,Junior,Fullstack,55000
Diğer,Junior,Machine Learning,38000
Istanbul,Mid,Cybersecurity,93000
Ankara,Junior,Fullstack,46000
Diğer,Junior,UI/UX,45000
Diğer,Junior,UI/UX,52000
Istanbul,Junior,Data Science,76000
Istanbul,Junior,Backend,58000
Istanbul,Mid,Backend,77000
Diğer,Junior,Frontend,43000
Istanbul,Junior,Machine Learning,50000
Istanbul,Senior,DevOps,152000
Istanbul,Junior,UI/UX,31000
Izmir,Senior,Game Development,94000
Ankara,Junior,Backend,33000
Istanbul,Senior,Game Development,79000
Ankara,Mid,QA/Test,93000
Istanbul,Mid,Backend,105000
Diğer,Senior,UI/UX,62000
Diğer,Mid,DevOps,106000
Ankara,Mid,Backend,76000
Diğer,Senior,Game Development,43000
Diğer,Senior,Frontend,139000
Istanbul,Junior,Cybersecurity,59000
Istanbul,Junior,Frontend,42000
Istanbul,Mid,Frontend,91000
Istanbul,Senior,Fullstack,157000
Izmir,Junior,Machine Learning,63000
Istanbul,Mid,DevOps,90000
Istanbul,Senior,UI/UX,63000
Ankara,Junior,UI/UX,52000
Izmir,Mid,DevOps,91000
Istanbul,Junior,QA/Test,43000
Istanbul,Mid,Cybersecurity,114000
Ankara,Junior,Product Manager,46000
Istanbul,Junior,Backend,50000
Istanbul,Junior,UI/UX,39000
Diğer,Mid,Backend,69000
Istanbul,Junior,Frontend,40000
Istanbul,Junior,Frontend,49000
Diğer,Mid,Product Manager,69000
Istanbul,Junior,DevOps,72000
Istanbul,Senior,DevOps,137000
Ankara,Junior,Backend,52000
Ankara,Junior,Fullstack,59000
Istanbul,Senior,Fullstack,129000
Ankara,Junior,QA/Test,76000
Izmir,Senior,Game Development,100000
Istanbul,Junior,Frontend,56000
Istanbul,Junior,Frontend,43000
Istanbul,Mid,Fullstack,87000
Istanbul,Mid,Mobile,100000
Istanbul,Mid,Backend,102000
Istanbul,Mid,UI/UX,54000
Istanbul,Mid,Mobile,86000
Izmir,Junior,Cybersecurity,37000
Istanbul,Junior,Cybersecurity,65000
Istanbul,Mid,Frontend,47000
Izmir,Senior,Data Science,164000
Istanbul,Junior,Frontend,56000
Istanbul,Mid,Business Analyst,71000
Istanbul,Senior,Frontend,113000
Istanbul,Junior,Frontend,35000
Ankara,Junior,Data Engineer,73000
Ankara,Junior,Backend,64000
Istanbul,Junior,DevOps,56000
Ankara,Mid,UI/UX,69000
Diğer,Mid,Data Science,92000
Diğer,Mid,Fullstack,67000
Istanbul,Mid,UI/UX,59000
Ankara,Mid,Fullstack,92000
Ankara,Mid,UI/UX,29000
Diğer,Mid,Data Science,98000
Istanbul,Senior,Machine Learning,123000
Izmir,Senior,UI/UX,69000
Ankara,Junior,Cybersecurity,65000
Istanbul,Mid,Frontend,62000
Istanbul,Mid,QA/Test,88000
Izmir,Senior,Frontend,126000
Istanbul,Senior,Fullstack,149000
Izmir,Mid,UI/UX,47000
Diğer,Junior,QA/Test,57000
Istanbul,Junior,Backend,52000
Istanbul,Mid,Backend,69000
Istanbul,Mid,Backend,100000
Istanbul,Senior,Frontend,143000
Istanbul,Junior,Fullstack,54000
Istanbul,Junior,Backend,56000
Istanbul,Junior,UI/UX,46000
Ankara,Senior,Backend,130000
Diğer,Junior,Frontend,52000
Izmir,Junior,DevOps,55000
Istanbul,Junior,Frontend,50000
Istanbul,Junior,Business Analyst,56000
Istanbul,Mid,Backend,97000
Istanbul,Junior,Backend,74000
Istanbul,Junior,QA/Test,55000
Diğer,Junior,UI/UX,52000
Ankara,Junior,Fullstack,65000
Istanbul,Mid,Machine Learning,72000
Istanbul,Mid,QA/Test,83000
Diğer,Mid,Fullstack,66000
Diğer,Senior,Backend,110000
Istanbul,Junior,UI/UX,31000
Diğer,Mid,DevOps,84000
Diğer,Mid,Backend,78000
Istanbul,Mid,Cybersecurity,89000
Istanbul,Mid,Frontend,82000
Diğer,Junior,Backend,53000
Istanbul,Junior,Product Manager,45000
Diğer,Senior,Frontend,109000
Istanbul,Junior,Backend,57000
Istanbul,Mid,Data Science,102000
Istanbul,Junior,Backend,57000
Diğer,Junior,Backend,35000
Istanbul,Junior,Machine Learning,55000
Diğer,Senior,Mobile,119000
Izmir,Junior,Frontend,32000
Ankara,Junior,Machine Learning,72000
Diğer,Junior,DevOps,65000
Izmir,Mid,Cybersecurity,84000
Ankara,Junior,DevOps,69000
Istanbul,Mid,Machine Learning,88000
Diğer,Mid,Backend,77000
Ankara,Mid,Fullstack,85000
Ankara,Mid,Mobile,97000
Istanbul,Junior,Frontend,60000
Diğer,Junior,Frontend,40000
Diğer,Junior,Mobile,40000
Istanbul,Senior,Game Development,79000
Istanbul,Senior,Frontend,87000
Istanbul,Junior,Machine Learning,69000
Diğer,Mid,Data Science,109000
Istanbul,Mid,Cybersecurity,100000
Istanbul,Senior,QA/Test,130000
Istanbul,Mid,Backend,80000
Istanbul,Mid,QA/Test,110000
Diğer,Junior,Fullstack,55000
Istanbul,Junior,Frontend,50000
Istanbul,Junior,QA/Test,43000
Diğer,Senior,Fullstack,123000
Diğer,Mid,Data Engineer,130000
Ankara,Mid,Backend,62000
Izmir,Mid,Mobile,114000
Izmir,Mid,Frontend,65000
Istanbul,Junior,Frontend,54000
Ankara,Senior,Backend,141000
Istanbul,Senior,Frontend,151000
Istanbul,Junior,Cybersecurity,67000
Istanbul,Senior,Product Manager,104000
Istanbul,Junior,DevOps,51000
Diğer,Junior,Backend,52000
Ankara,Junior,Business Analyst,67000
Diğer,Mid,Data Science,102000
Istanbul,Senior,DevOps,140000
Ankara,Junior,Backend,48000
Istanbul,Junior,Frontend,47000
Istanbul,Junior,Frontend,62000
Istanbul,Senior,DevOps,133000
Istanbul,Junior,Fullstack,30000
Ankara,Mid,Frontend,67000
Istanbul,Senior,Cybersecurity,148000
Diğer,Mid,Fullstack,90000
Ankara,Junior,Backend,51000
Istanbul,Senior,Backend,120000
Istanbul,Mid,Product Manager,66000
Istanbul,Senior,Data Engineer,141000
Istanbul,Senior,Frontend,119000
Istanbul,Mid,Backend,70000
Istanbul,Mid,Backend,109000
Istanbul,Junior,QA/Test,44000
Istanbul,Mid,Mobile,85000
Istanbul,Mid,Game Development,48000
Istanbul,Junior,Backend,51000
Istanbul,Junior,Fullstack,51000
Istanbul,Mid,Frontend,62000
Istanbul,Junior,Product Manager,35000
Ankara,Senior,DevOps,140000
Ankara,Senior,Backend,105000
Ankara,Mid,Frontend,50000
Ankara,Mid,Mobile,85000
Ankara,Mid,Backend,80000
Izmir,Senior,Frontend,104000
Diğer,Mid,QA/Test,94000
Ankara,Senior,Data Engineer,210000
Izmir,Junior,Backend,45000
Istanbul,Junior,Frontend,56000
Istanbul,Mid,Backend,68000
Ankara,Junior,Machine Learning,83000
Ankara,Senior,Fullstack,105000
Istanbul,Junior,Frontend,53000
Istanbul,Junior,Frontend,49000
Istanbul,Mid,Frontend,76000
Diğer,Junior,QA/Test,47000
Istanbul,Junior,Product Manager,54000
